m,n,k,time
100,100,100,0.000120074
100,100,200,0.000260005
100,100,300,0.000411303
100,100,400,0.000605043
100,100,500,0.000622933
100,100,600,0.000861193
100,100,700,0.00100265
100,100,800,0.00110602
100,100,900,0.00128082
100,100,1000,0.00144773
100,200,100,0.000207823
100,200,200,0.000465111
100,200,300,0.000721491
100,200,400,0.000947891
100,200,500,0.0011831
100,200,600,0.00154623
100,200,700,0.0017142
100,200,800,0.00200615
100,200,900,0.0022339
100,200,1000,0.00250859
100,300,100,0.000353016
100,300,200,0.000709244
100,300,300,0.00100814
100,300,400,0.0014001
100,300,500,0.00173778
100,300,600,0.00215092
100,300,700,0.00250153
100,300,800,0.00294954
100,300,900,0.00328298
100,300,1000,0.00379551
100,400,100,0.000483604
100,400,200,0.000926704
100,400,300,0.00140525
100,400,400,0.00193485
100,400,500,0.0024193
100,400,600,0.00300541
100,400,700,0.00351945
100,400,800,0.00422925
100,400,900,0.0046984
100,400,1000,0.00542526
100,500,100,0.000601521
100,500,200,0.00131361
100,500,300,0.00192625
100,500,400,0.00269336
100,500,500,0.00324114
100,500,600,0.00410241
100,500,700,0.00464942
100,500,800,0.005456
100,500,900,0.00615862
100,500,1000,0.00982088
100,600,100,0.000721629
100,600,200,0.00146739
100,600,300,0.00342096
100,600,400,0.0041229
100,600,500,0.00390012
100,600,600,0.00516985
100,600,700,0.00592421
100,600,800,0.00634305
100,600,900,0.00671706
100,600,1000,0.00776789
100,700,100,0.000832859
100,700,200,0.00171185
100,700,300,0.00260003
100,700,400,0.00344933
100,700,500,0.00438833
100,700,600,0.00522267
100,700,700,0.00610584
100,700,800,0.00719191
100,700,900,0.00856641
100,700,1000,0.00927594
100,800,100,0.00096385
100,800,200,0.00209036
100,800,300,0.00293144
100,800,400,0.00473974
100,800,500,0.00624907
100,800,600,0.00710272
100,800,700,0.00742346
100,800,800,0.0108447
100,800,900,0.0091953
100,800,1000,0.0108772
100,900,100,0.00115608
100,900,200,0.00241643
100,900,300,0.00360516
100,900,400,0.00484861
100,900,500,0.00607737
100,900,600,0.0073603
100,900,700,0.00811466
100,900,800,0.00959978
100,900,900,0.010488
100,900,1000,0.0126687
100,1000,100,0.00122781
100,1000,200,0.00256492
100,1000,300,0.00415763
100,1000,400,0.00561906
100,1000,500,0.00695907
100,1000,600,0.00821515
100,1000,700,0.00971399
100,1000,800,0.0116841
100,1000,900,0.0126964
100,1000,1000,0.0145216
200,100,100,0.000205509
200,100,200,0.000384162
200,100,300,0.00056646
200,100,400,0.000750599
200,100,500,0.000884843
200,100,600,0.00112945
200,100,700,0.00130883
200,100,800,0.00153807
200,100,900,0.00167245
200,100,1000,0.00184586
200,200,100,0.000357744
200,200,200,0.000739787
200,200,300,0.00108042
200,200,400,0.00154858
200,200,500,0.00183993
200,200,600,0.00229688
200,200,700,0.00258617
200,200,800,0.00306615
200,200,900,0.00336396
200,200,1000,0.00382532
200,300,100,0.000528579
200,300,200,0.00109193
200,300,300,0.00170492
200,300,400,0.00234153
200,300,500,0.00285344
200,300,600,0.00341853
200,300,700,0.00388789
200,300,800,0.00485077
200,300,900,0.00506444
200,300,1000,0.00607242
200,400,100,0.000747727
200,400,200,0.00154983
200,400,300,0.00271007
200,400,400,0.00411873
200,400,500,0.00437322
200,400,600,0.00479001
200,400,700,0.00530123
200,400,800,0.00627715
200,400,900,0.00728659
200,400,1000,0.00811675
200,500,100,0.000982466
200,500,200,0.00211182
200,500,300,0.00305111
200,500,400,0.00407539
200,500,500,0.00496644
200,500,600,0.00656915
200,500,700,0.00789022
200,500,800,0.00917204
200,500,900,0.00981383
200,500,1000,0.0110687
200,600,100,0.00113945
200,600,200,0.00276087
200,600,300,0.00353767
200,600,400,0.00471261
200,600,500,0.0062049
200,600,600,0.00768074
200,600,700,0.00872165
200,600,800,0.0101157
200,600,900,0.0108506
200,600,1000,0.0122111
200,700,100,0.00145041
200,700,200,0.00276732
200,700,300,0.00398619
200,700,400,0.00584441
200,700,500,0.00744109
200,700,600,0.00958232
200,700,700,0.0124949
200,700,800,0.0111174
200,700,900,0.0125615
200,700,1000,0.015605
200,800,100,0.00157815
200,800,200,0.00316395
200,800,300,0.00469609
200,800,400,0.00654355
200,800,500,0.00830042
200,800,600,0.00937187
200,800,700,0.0112695
200,800,800,0.0133567
200,800,900,0.014716
200,800,1000,0.0181664
200,900,100,0.00170995
200,900,200,0.00349456
200,900,300,0.00522383
200,900,400,0.0072456
200,900,500,0.0088397
200,900,600,0.0124338
200,900,700,0.0141525
200,900,800,0.0155134
200,900,900,0.0167646
200,900,1000,0.0197298
200,1000,100,0.00213258
200,1000,200,0.00485717
200,1000,300,0.00663242
200,1000,400,0.0088268
200,1000,500,0.0102394
200,1000,600,0.0129196
200,1000,700,0.0156431
200,1000,800,0.0178564
200,1000,900,0.0190794
200,1000,1000,0.0205118
300,100,100,0.000249854
300,100,200,0.000520776
300,100,300,0.000771716
300,100,400,0.00103259
300,100,500,0.00125469
300,100,600,0.00153181
300,100,700,0.00180293
300,100,800,0.00206034
300,100,900,0.00234894
300,100,1000,0.00261014
300,200,100,0.000523287
300,200,200,0.0010793
300,200,300,0.00158204
300,200,400,0.00212041
300,200,500,0.00257879
300,200,600,0.00310152
300,200,700,0.00388015
300,200,800,0.00425983
300,200,900,0.00472758
300,200,1000,0.00554156
300,300,100,0.000743147
300,300,200,0.00150276
300,300,300,0.00226509
300,300,400,0.00316725
300,300,500,0.00392901
300,300,600,0.00466246
300,300,700,0.00562416
300,300,800,0.00641877
300,300,900,0.00742094
300,300,1000,0.00810148
300,400,100,0.00100285
300,400,200,0.0021007
300,400,300,0.0034053
300,400,400,0.00430335
300,400,500,0.00536514
300,400,600,0.00699463
300,400,700,0.00826528
300,400,800,0.00919683
300,400,900,0.00998441
300,400,1000,0.0109841
300,500,100,0.00137608
300,500,200,0.00311961
300,500,300,0.00427214
300,500,400,0.005818
300,500,500,0.00713163
300,500,600,0.00887687
300,500,700,0.010514
300,500,800,0.0119876
300,500,900,0.0133654
300,500,1000,0.0149288
300,600,100,0.00164267
300,600,200,0.00316403
300,600,300,0.0047667
300,600,400,0.00640978
300,600,500,0.00813999
300,600,600,0.00997698
300,600,700,0.0116747
300,600,800,0.0133818
300,600,900,0.0149128
300,600,1000,0.0170349
300,700,100,0.00182837
300,700,200,0.00367718
300,700,300,0.00555442
300,700,400,0.00775361
300,700,500,0.00961655
300,700,600,0.0147921
300,700,700,0.013456
300,700,800,0.0159402
300,700,900,0.018056
300,700,1000,0.0211562
300,800,100,0.002235
300,800,200,0.00488494
300,800,300,0.00761957
300,800,400,0.00948583
300,800,500,0.011454
300,800,600,0.0142066
300,800,700,0.0164421
300,800,800,0.0194939
300,800,900,0.0209646
300,800,1000,0.0250849
300,900,100,0.00241396
300,900,200,0.00494197
300,900,300,0.00734934
300,900,400,0.010229
300,900,500,0.0123401
300,900,600,0.0152223
300,900,700,0.0175418
300,900,800,0.020661
300,900,900,0.0237623
300,900,1000,0.0257724
300,1000,100,0.00256836
300,1000,200,0.00529334
300,1000,300,0.00819711
300,1000,400,0.0110889
300,1000,500,0.0142036
300,1000,600,0.0183872
300,1000,700,0.0211293
300,1000,800,0.0235573
300,1000,900,0.024689
300,1000,1000,0.0282427
400,100,100,0.000347564
400,100,200,0.000705061
400,100,300,0.00100538
400,100,400,0.00145755
400,100,500,0.00179818
400,100,600,0.00204743
400,100,700,0.00246609
400,100,800,0.0028231
400,100,900,0.00311508
400,100,1000,0.00354593
400,200,100,0.000660075
400,200,200,0.00144965
400,200,300,0.00207905
400,200,400,0.00282574
400,200,500,0.00333811
400,200,600,0.00408077
400,200,700,0.00502405
400,200,800,0.00557264
400,200,900,0.00674461
400,200,1000,0.00788084
400,300,100,0.00105155
400,300,200,0.0021158
400,300,300,0.00302849
400,300,400,0.0040315
400,300,500,0.00489584
400,300,600,0.00599715
400,300,700,0.00733474
400,300,800,0.00862035
400,300,900,0.00978111
400,300,1000,0.0111411
400,400,100,0.00140891
400,400,200,0.0028538
400,400,300,0.00399488
400,400,400,0.00552642
400,400,500,0.00670064
400,400,600,0.00869935
400,400,700,0.0100843
400,400,800,0.0120494
400,400,900,0.0134748
400,400,1000,0.0143143
400,500,100,0.00281698
400,500,200,0.00417764
400,500,300,0.00554771
400,500,400,0.00793636
400,500,500,0.00967916
400,500,600,0.011333
400,500,700,0.0130504
400,500,800,0.0148801
400,500,900,0.0168131
400,500,1000,0.0186227
400,600,100,0.00196201
400,600,200,0.00403645
400,600,300,0.00596892
400,600,400,0.0083639
400,600,500,0.010194
400,600,600,0.0126318
400,600,700,0.0144712
400,600,800,0.0173561
400,600,900,0.0188933
400,600,1000,0.0218009
400,700,100,0.00231603
400,700,200,0.00467089
400,700,300,0.00701405
400,700,400,0.0108498
400,700,500,0.014393
400,700,600,0.0163888
400,700,700,0.0180726
400,700,800,0.0220516
400,700,900,0.0235177
400,700,1000,0.0285211
400,800,100,0.00335626
400,800,200,0.00748298
400,800,300,0.010057
400,800,400,0.0139254
400,800,500,0.016557
400,800,600,0.0204002
400,800,700,0.0269558
400,800,800,0.0272141
400,800,900,0.0316419
400,800,1000,0.0328014
400,900,100,0.0034841
400,900,200,0.00735006
400,900,300,0.0121749
400,900,400,0.0150521
400,900,500,0.0215065
400,900,600,0.0258629
400,900,700,0.0245413
400,900,800,0.0293761
400,900,900,0.0297292
400,900,1000,0.0324857
400,1000,100,0.00425382
400,1000,200,0.00908172
400,1000,300,0.0121722
400,1000,400,0.0154354
400,1000,500,0.0198011
400,1000,600,0.0223507
400,1000,700,0.0270738
400,1000,800,0.0289619
400,1000,900,0.0324387
400,1000,1000,0.0373013
500,100,100,0.000428043
500,100,200,0.000838317
500,100,300,0.00123326
500,100,400,0.00168812
500,100,500,0.00206313
500,100,600,0.00260046
500,100,700,0.00309369
500,100,800,0.00354936
500,100,900,0.0037888
500,100,1000,0.00432165
500,200,100,0.000904239
500,200,200,0.00186348
500,200,300,0.0026769
500,200,400,0.00355037
500,200,500,0.00436019
500,200,600,0.00537348
500,200,700,0.00594482
500,200,800,0.00688653
500,200,900,0.00773459
500,200,1000,0.00898798
500,300,100,0.00124282
500,300,200,0.00273699
500,300,300,0.00406405
500,300,400,0.00508215
500,300,500,0.00608932
500,300,600,0.00749099
500,300,700,0.00859467
500,300,800,0.0102984
500,300,900,0.0140396
500,300,1000,0.0124076
500,400,100,0.001787
500,400,200,0.0032788
500,400,300,0.00501156
500,400,400,0.00827019
500,400,500,0.00831065
500,400,600,0.0101398
500,400,700,0.012916
500,400,800,0.0170152
500,400,900,0.0152871
500,400,1000,0.0192067
500,500,100,0.00214746
500,500,200,0.00446223
500,500,300,0.00706231
500,500,400,0.00936982
500,500,500,0.011288
500,500,600,0.0180626
500,500,700,0.0165334
500,500,800,0.0186291
500,500,900,0.0206667
500,500,1000,0.0230667
500,600,100,0.00251121
500,600,200,0.0054558
500,600,300,0.00810019
500,600,400,0.0109761
500,600,500,0.012656
500,600,600,0.0156362
500,600,700,0.0181031
500,600,800,0.0209926
500,600,900,0.0241102
500,600,1000,0.0257353
500,700,100,0.00281284
500,700,200,0.00579702
500,700,300,0.00908319
500,700,400,0.0118698
500,700,500,0.0149405
500,700,600,0.0182646
500,700,700,0.0211292
500,700,800,0.024196
500,700,900,0.0267791
500,700,1000,0.0285823
500,800,100,0.00340299
500,800,200,0.00683878
500,800,300,0.010201
500,800,400,0.0140538
500,800,500,0.0186505
500,800,600,0.0235264
500,800,700,0.0274915
500,800,800,0.029065
500,800,900,0.0314455
500,800,1000,0.0345085
500,900,100,0.00385768
500,900,200,0.00769571
500,900,300,0.0120336
500,900,400,0.0156243
500,900,500,0.0195839
500,900,600,0.0233343
500,900,700,0.0272085
500,900,800,0.0310421
500,900,900,0.0342257
500,900,1000,0.0422529
500,1000,100,0.00445024
500,1000,200,0.00859791
500,1000,300,0.0129454
500,1000,400,0.0172623
500,1000,500,0.0269581
500,1000,600,0.0262242
500,1000,700,0.0291114
500,1000,800,0.0337493
500,1000,900,0.0371986
500,1000,1000,0.0424781
600,100,100,0.000474454
600,100,200,0.000952252
600,100,300,0.00144584
600,100,400,0.00192386
600,100,500,0.00240453
600,100,600,0.00288328
600,100,700,0.00340596
600,100,800,0.00392477
600,100,900,0.00480374
600,100,1000,0.00488192
600,200,100,0.000957424
600,200,200,0.00192845
600,200,300,0.00290612
600,200,400,0.00394111
600,200,500,0.00480697
600,200,600,0.00583642
600,200,700,0.00679582
600,200,800,0.00817609
600,200,900,0.00892105
600,200,1000,0.0100031
600,300,100,0.00142107
600,300,200,0.00295283
600,300,300,0.00422956
600,300,400,0.00574134
600,300,500,0.00714742
600,300,600,0.0087191
600,300,700,0.0102119
600,300,800,0.0120279
600,300,900,0.0130127
600,300,1000,0.0147444
600,400,100,0.00195205
600,400,200,0.00384079
600,400,300,0.00574112
600,400,400,0.00778034
600,400,500,0.00970185
600,400,600,0.0117964
600,400,700,0.0134142
600,400,800,0.0157933
600,400,900,0.0176285
600,400,1000,0.0196885
600,500,100,0.00246629
600,500,200,0.00520243
600,500,300,0.00792727
600,500,400,0.01052
600,500,500,0.0130097
600,500,600,0.0156629
600,500,700,0.0186177
600,500,800,0.0212766
600,500,900,0.0238757
600,500,1000,0.0264263
600,600,100,0.00280781
600,600,200,0.00576865
600,600,300,0.00914573
600,600,400,0.0116723
600,600,500,0.0149561
600,600,600,0.0177146
600,600,700,0.0207701
600,600,800,0.0236687
600,600,900,0.0270445
600,600,1000,0.0299502
600,700,100,0.00329985
600,700,200,0.00682878
600,700,300,0.0104043
600,700,400,0.0139491
600,700,500,0.0173903
600,700,600,0.0212887
600,700,700,0.0243367
600,700,800,0.0284149
600,700,900,0.035729
600,700,1000,0.0369334
600,800,100,0.00481684
600,800,200,0.00882071
600,800,300,0.0125415
600,800,400,0.0169783
600,800,500,0.0213075
600,800,600,0.0256367
600,800,700,0.0344246
600,800,800,0.033684
600,800,900,0.037941
600,800,1000,0.0409582
600,900,100,0.00549608
600,900,200,0.0111629
600,900,300,0.0150673
600,900,400,0.0195774
600,900,500,0.0235051
600,900,600,0.0297984
600,900,700,0.0367648
600,900,800,0.0430177
600,900,900,0.0455724
600,900,1000,0.0495607
600,1000,100,0.00532787
600,1000,200,0.0109835
600,1000,300,0.0166448
600,1000,400,0.0218728
600,1000,500,0.0253896
600,1000,600,0.0323131
600,1000,700,0.0402682
600,1000,800,0.0464172
600,1000,900,0.0526305
600,1000,1000,0.0526355
700,100,100,0.000589744
700,100,200,0.001127
700,100,300,0.0019634
700,100,400,0.00249407
700,100,500,0.00328259
700,100,600,0.00414797
700,100,700,0.00423399
700,100,800,0.00506025
700,100,900,0.00572824
700,100,1000,0.00655062
700,200,100,0.0012517
700,200,200,0.00248728
700,200,300,0.00406927
700,200,400,0.0050254
700,200,500,0.00613772
700,200,600,0.00763774
700,200,700,0.00904747
700,200,800,0.0101195
700,200,900,0.0113619
700,200,1000,0.0155151
700,300,100,0.00317376
700,300,200,0.0052509
700,300,300,0.0056594
700,300,400,0.00767554
700,300,500,0.00928842
700,300,600,0.0111518
700,300,700,0.0122263
700,300,800,0.0137903
700,300,900,0.0158453
700,300,1000,0.0177952
700,400,100,0.00231512
700,400,200,0.00481165
700,400,300,0.00664802
700,400,400,0.00949267
700,400,500,0.0118356
700,400,600,0.0142623
700,400,700,0.015907
700,400,800,0.0183343
700,400,900,0.021163
700,400,1000,0.0236083
700,500,100,0.00296939
700,500,200,0.00663637
700,500,300,0.0110522
700,500,400,0.0135741
700,500,500,0.017164
700,500,600,0.0231101
700,500,700,0.0229844
700,500,800,0.0257956
700,500,900,0.0284943
700,500,1000,0.0322572
700,600,100,0.00352925
700,600,200,0.0068255
700,600,300,0.0107395
700,600,400,0.0146366
700,600,500,0.0201261
700,600,600,0.0218719
700,600,700,0.0245921
700,600,800,0.0284171
700,600,900,0.0324533
700,600,1000,0.0352109
700,700,100,0.00389499
700,700,200,0.00852039
700,700,300,0.0127808
700,700,400,0.0167574
700,700,500,0.0207488
700,700,600,0.0257463
700,700,700,0.0294816
700,700,800,0.0330441
700,700,900,0.0359605
700,700,1000,0.0395018
700,800,100,0.00457865
700,800,200,0.00992663
700,800,300,0.0143659
700,800,400,0.0202754
700,800,500,0.0243829
700,800,600,0.0295951
700,800,700,0.0339925
700,800,800,0.0385783
700,800,900,0.044451
700,800,1000,0.0516702
700,900,100,0.00526011
700,900,200,0.0112862
700,900,300,0.0165615
700,900,400,0.0272565
700,900,500,0.0274875
700,900,600,0.0336293
700,900,700,0.0365628
700,900,800,0.0432441
700,900,900,0.0495808
700,900,1000,0.0536214
700,1000,100,0.00585923
700,1000,200,0.012263
700,1000,300,0.0181206
700,1000,400,0.0268922
700,1000,500,0.030638
700,1000,600,0.0344445
700,1000,700,0.0407823
700,1000,800,0.0488488
700,1000,900,0.0526766
700,1000,1000,0.0577096
800,100,100,0.000638418
800,100,200,0.00140362
800,100,300,0.00189079
800,100,400,0.00260764
800,100,500,0.00324564
800,100,600,0.0038367
800,100,700,0.00446474
800,100,800,0.00528207
800,100,900,0.00592142
800,100,1000,0.0072895
800,200,100,0.0014911
800,200,200,0.00262608
800,200,300,0.00398757
800,200,400,0.00583388
800,200,500,0.00660132
800,200,600,0.00816434
800,200,700,0.00939249
800,200,800,0.0110197
800,200,900,0.0118941
800,200,1000,0.0137066
800,300,100,0.00185279
800,300,200,0.00391489
800,300,300,0.0058851
800,300,400,0.00789056
800,300,500,0.0098636
800,300,600,0.0118871
800,300,700,0.0138345
800,300,800,0.0156973
800,300,900,0.0172238
800,300,1000,0.0190664
800,400,100,0.00247662
800,400,200,0.00496873
800,400,300,0.00750332
800,400,400,0.0111118
800,400,500,0.0152938
800,400,600,0.0154576
800,400,700,0.0180457
800,400,800,0.0204116
800,400,900,0.0229794
800,400,1000,0.0253254
800,500,100,0.00318325
800,500,200,0.00665529
800,500,300,0.0103005
800,500,400,0.0141038
800,500,500,0.0171803
800,500,600,0.0208071
800,500,700,0.024267
800,500,800,0.0276626
800,500,900,0.0312024
800,500,1000,0.0343721
800,600,100,0.00370477
800,600,200,0.00775445
800,600,300,0.0117323
800,600,400,0.0154966
800,600,500,0.0218228
800,600,600,0.0239515
800,600,700,0.0274385
800,600,800,0.0322257
800,600,900,0.0366066
800,600,1000,0.0395571
800,700,100,0.00439351
800,700,200,0.00996771
800,700,300,0.0146569
800,700,400,0.0189325
800,700,500,0.023137
800,700,600,0.0284834
800,700,700,0.0330981
800,700,800,0.0384043
800,700,900,0.0417469
800,700,1000,0.0463079
800,800,100,0.00554492
800,800,200,0.0116793
800,800,300,0.0166721
800,800,400,0.022795
800,800,500,0.0278218
800,800,600,0.0334246
800,800,700,0.0376575
800,800,800,0.0432534
800,800,900,0.0504812
800,800,1000,0.0576687
800,900,100,0.00593385
800,900,200,0.0125535
800,900,300,0.0185521
800,900,400,0.025614
800,900,500,0.0310303
800,900,600,0.0351583
800,900,700,0.0401566
800,900,800,0.0462514
800,900,900,0.0520385
800,900,1000,0.0569777
800,1000,100,0.00638476
800,1000,200,0.0156612
800,1000,300,0.0204226
800,1000,400,0.0283317
800,1000,500,0.0348078
800,1000,600,0.0412883
800,1000,700,0.0460886
800,1000,800,0.051694
800,1000,900,0.0579142
800,1000,1000,0.0620625
900,100,100,0.000666852
900,100,200,0.00134915
900,100,300,0.00222273
900,100,400,0.00282398
900,100,500,0.00358632
900,100,600,0.00434758
900,100,700,0.00505164
900,100,800,0.0055229
900,100,900,0.00640948
900,100,1000,0.00698817
900,200,100,0.00150343
900,200,200,0.00279219
900,200,300,0.00405704
900,200,400,0.00585456
900,200,500,0.00736591
900,200,600,0.00843767
900,200,700,0.0099738
900,200,800,0.0133344
900,200,900,0.0137987
900,200,1000,0.015559
900,300,100,0.00220003
900,300,200,0.00423639
900,300,300,0.00629519
900,300,400,0.00894309
900,300,500,0.0112897
900,300,600,0.0168118
900,300,700,0.0157361
900,300,800,0.018454
900,300,900,0.0197185
900,300,1000,0.0215712
900,400,100,0.00275738
900,400,200,0.00553355
900,400,300,0.00889262
900,400,400,0.0120121
900,400,500,0.0149415
900,400,600,0.0174602
900,400,700,0.0204785
900,400,800,0.0233238
900,400,900,0.0320713
900,400,1000,0.0313985
900,500,100,0.0043089
900,500,200,0.00803163
900,500,300,0.0122681
900,500,400,0.0162756
900,500,500,0.0205927
900,500,600,0.0244105
900,500,700,0.0277515
900,500,800,0.0314668
900,500,900,0.0353943
900,500,1000,0.0387156
900,600,100,0.00415798
900,600,200,0.0113442
900,600,300,0.0136959
900,600,400,0.0185596
900,600,500,0.0219787
900,600,600,0.0259461
900,600,700,0.0298494
900,600,800,0.034087
900,600,900,0.0372408
900,600,1000,0.0417881
900,700,100,0.0047396
900,700,200,0.0105366
900,700,300,0.0153797
900,700,400,0.0200487
900,700,500,0.0249016
900,700,600,0.0300161
900,700,700,0.0347646
900,700,800,0.0431087
900,700,900,0.0440374
900,700,1000,0.0503719
900,800,100,0.00568928
900,800,200,0.0158109
900,800,300,0.01835
900,800,400,0.0242683
900,800,500,0.0293188
900,800,600,0.0361384
900,800,700,0.0394406
900,800,800,0.0466384
900,800,900,0.05548
900,800,1000,0.0594072
900,900,100,0.00648004
900,900,200,0.0140138
900,900,300,0.0200702
900,900,400,0.026774
900,900,500,0.0361082
900,900,600,0.0403405
900,900,700,0.0470858
900,900,800,0.054466
900,900,900,0.0600707
900,900,1000,0.0666623
900,1000,100,0.00767309
900,1000,200,0.0165166
900,1000,300,0.0233211
900,1000,400,0.0307066
900,1000,500,0.0371769
900,1000,600,0.0438855
900,1000,700,0.0564632
900,1000,800,0.0601918
900,1000,900,0.0690082
900,1000,1000,0.075552
1000,100,100,0.000778852
1000,100,200,0.00156805
1000,100,300,0.00236419
1000,100,400,0.00324305
1000,100,500,0.00416368
1000,100,600,0.00483109
1000,100,700,0.00561751
1000,100,800,0.0064754
1000,100,900,0.0075924
1000,100,1000,0.0083162
1000,200,100,0.00161145
1000,200,200,0.00334701
1000,200,300,0.00496159
1000,200,400,0.00647744
1000,200,500,0.00816148
1000,200,600,0.0102493
1000,200,700,0.0124483
1000,200,800,0.0142644
1000,200,900,0.0156615
1000,200,1000,0.0185841
1000,300,100,0.00250815
1000,300,200,0.00472204
1000,300,300,0.00711279
1000,300,400,0.0102731
1000,300,500,0.0122637
1000,300,600,0.0148388
1000,300,700,0.0175693
1000,300,800,0.0198956
1000,300,900,0.0219361
1000,300,1000,0.02454
1000,400,100,0.00320919
1000,400,200,0.00628129
1000,400,300,0.00998443
1000,400,400,0.0128382
1000,400,500,0.0172274
1000,400,600,0.021682
1000,400,700,0.02387
1000,400,800,0.0272718
1000,400,900,0.0299238
1000,400,1000,0.0329532
1000,500,100,0.00438493
1000,500,200,0.00883676
1000,500,300,0.0143876
1000,500,400,0.0190205
1000,500,500,0.0229456
1000,500,600,0.0292676
1000,500,700,0.0334325
1000,500,800,0.0362275
1000,500,900,0.0417847
1000,500,1000,0.0458108
1000,600,100,0.00522934
1000,600,200,0.0106155
1000,600,300,0.0156003
1000,600,400,0.021202
1000,600,500,0.0254999
1000,600,600,0.0309369
1000,600,700,0.0363567
1000,600,800,0.0398949
1000,600,900,0.0464278
1000,600,1000,0.0496604
1000,700,100,0.00535592
1000,700,200,0.0119345
1000,700,300,0.0173062
1000,700,400,0.023556
1000,700,500,0.0288887
1000,700,600,0.0354785
1000,700,700,0.0399124
1000,700,800,0.046276
1000,700,900,0.0522299
1000,700,1000,0.0564463
1000,800,100,0.00665236
1000,800,200,0.0144746
1000,800,300,0.0216857
1000,800,400,0.0275962
1000,800,500,0.0362154
1000,800,600,0.0414122
1000,800,700,0.0483236
1000,800,800,0.0556668
1000,800,900,0.0594465
1000,800,1000,0.0682144
1000,900,100,0.00741385
1000,900,200,0.0164101
1000,900,300,0.023494
1000,900,400,0.0321924
1000,900,500,0.0382609
1000,900,600,0.0460889
1000,900,700,0.0528375
1000,900,800,0.0573406
1000,900,900,0.0647923
1000,900,1000,0.0757802
1000,1000,100,0.00809988
1000,1000,200,0.0169355
1000,1000,300,0.0252584
1000,1000,400,0.0327868
1000,1000,500,0.041804
1000,1000,600,0.0467148
1000,1000,700,0.0554947
1000,1000,800,0.0665399
1000,1000,900,0.0714516
1000,1000,1000,0.0798605
